,domain,keyword_title,url,ts,date,p,search_volume,cpc,competition,visibility,branded
107,manomano.fr,table ronde extensible,https://www.manomano.fr/cat/table+a+manger+ronde+extensible,2022-05-09 03:16:02,2022-05-09,2,27100,0,0,4769,0
108,manomano.fr,tronconneuse thermique,https://www.manomano.fr/tronconneuse-thermique-1770,2022-05-09 03:10:12,2022-05-09,2,27100,0,0,4769,0
109,manomano.fr,boite aux lettres,https://www.manomano.fr/boite-aux-lettres-644,2022-05-09 03:16:11,2022-05-09,3,40500,0,0,4617,0
110,manomano.fr,coiffeuse meuble,https://www.manomano.fr/cat/meuble+coiffeuse,2022-05-09 03:22:26,2022-05-09,3,40500,0,0,4617,0
111,manomano.fr,echafaudage,https://www.manomano.fr/echafaudage-1768,2022-05-09 03:22:27,2022-05-09,3,40500,0,0,4617,0
112,manomano.fr,etagere,https://www.manomano.fr/bibliotheque-et-etagere-4594,2022-05-09 03:16:11,2022-05-09,3,40500,0,0,4617,0
113,manomano.fr,garde corp,https://www.manomano.fr/cat/garde+corp,2022-05-09 03:16:05,2022-05-09,3,40500,0,0,4617,0
114,manomano.fr,leve plaque,https://www.manomano.fr/cat/leve+plaque,2022-05-09 03:10:02,2022-05-09,3,40500,0,0,4617,0
115,manomano.fr,meuble d entree,https://www.manomano.fr/meuble-dentree-4664,2022-05-09 03:06:03,2022-05-09,3,40500,0,0,4617,0
116,manomano.fr,plafonnier,https://www.manomano.fr/plafonnier-4547,2022-05-09 03:12:56,2022-05-09,3,40500,0,0,4617,0
117,manomano.fr,rocking chair,https://www.manomano.fr/cat/rocking+chair,2022-05-09 03:20:20,2022-05-09,3,40500,0,0,4617,0
118,manomano.fr,scies sauteuse,https://www.manomano.fr/scie-sauteuse-1201,2022-05-09 03:20:19,2022-05-09,3,40500,0,0,4617,0
119,manomano.fr,store ggl,https://www.manomano.fr/cat/store+velux+ggl+s06,2022-05-09 03:05:59,2022-05-09,3,40500,0,0,4617,0
120,manomano.fr,wc suspendus,https://www.manomano.fr/wc-suspendu-1527,2022-05-09 03:10:05,2022-05-09,3,40500,0,0,4617,0
121,manomano.fr,salon beige,https://www.manomano.fr/cat/buffet+salon+beige,2022-05-09 03:06:02,2022-05-09,5,74000,0,0,4514,0
122,manomano.fr,brasero,https://www.manomano.fr/cat/barbecue+plancha+brasero,2022-05-09 03:20:18,2022-05-09,4,49500,0,0,4009,0
123,manomano.fr,chauffe eau,https://www.manomano.fr/chauffe-eau-electrique-1684,2022-05-09 03:12:55,2022-05-09,4,49500,0,0,4009,0
124,manomano.fr,paravent,https://www.manomano.fr/paravent-3651,2022-05-09 03:06:07,2022-05-09,4,49500,0,0,4009,0
125,manomano.fr,tables pliante,https://www.manomano.fr/cat/table+pliante,2022-05-09 03:10:09,2022-05-09,4,49500,0,0,4009,0
126,manomano.fr,transats jardin,https://www.manomano.fr/cat/transat+jardin,2022-05-09 03:13:04,2022-05-09,4,49500,0,0,4009,0
127,manomano.fr,bains de soleil,https://www.manomano.fr/transat-bain-de-soleil-chaise-longue-2728,2022-05-09 03:06:02,2022-05-09,6,90500,0,0,3982,0
128,manomano.fr,miroir,https://www.manomano.fr/miroir-decoratif-4527,2022-05-09 03:20:20,2022-05-09,6,90500,0,0,3982,0
129,manomano.fr,serres de jardin,https://www.manomano.fr/serre-de-jardin-1178,2022-05-09 03:10:12,2022-05-09,6,90500,0,0,3982,0
130,manomano.fr,bureau informatique,https://www.manomano.fr/cat/bureau+informatique,2022-05-09 03:06:00,2022-05-09,1,12100,0,0,3932,0
131,manomano.fr,cles a chocs,https://www.manomano.fr/cle-a-chocs-1181,2022-05-09 03:13:04,2022-05-09,1,12100,0,0,3932,0
132,manomano.fr,lampadaire halogene,https://www.manomano.fr/cat/lampadaire+halogene,2022-05-09 03:12:58,2022-05-09,1,12100,0,0,3932,0
133,manomano.fr,suspension indus,https://www.manomano.fr/cat/suspension+industriel,2022-05-09 03:20:11,2022-05-09,1,12100,0,0,3932,0
134,manomano.fr,table basse marbre,https://www.manomano.fr/cat/table+basse+marbre,2022-05-09 03:10:14,2022-05-09,1,12100,0,0,3932,0
135,manomano.fr,bancs de jardin,https://www.manomano.fr/banc-de-jardin-2722,2022-05-09 03:16:06,2022-05-09,2,22200,0,0,3907,0
136,manomano.fr,etageres salle de bain,https://www.manomano.fr/cat/etagere+salle+de+bain,2022-05-09 03:10:08,2022-05-09,2,22200,0,0,3907,0
137,manomano.fr,extincteur,https://www.manomano.fr/extincteur-3812,2022-05-09 03:13:02,2022-05-09,2,22200,0,0,3907,0
138,manomano.fr,meuleuse,https://www.manomano.fr/meuleuse-1199,2022-05-09 03:10:06,2022-05-09,2,22200,0,0,3907,0
139,manomano.fr,patere,https://www.manomano.fr/patere-2697,2022-05-09 03:16:12,2022-05-09,2,22200,0,0,3907,0
140,manomano.fr,serres joint,https://www.manomano.fr/serre-joint-513,2022-05-09 03:10:16,2022-05-09,2,22200,0,0,3907,0
141,manomano.fr,serrure,https://www.manomano.fr/serrure-605,2022-05-09 03:22:27,2022-05-09,2,22200,0,0,3907,0
142,manomano.fr,tete de lit bois,https://www.manomano.fr/cat/tete+de+lit+bois,2022-05-09 03:16:14,2022-05-09,2,22200,0,0,3907,0
143,manomano.fr,vasque salle de bain,https://www.manomano.fr/vasque-pour-salle-de-bain-1520,2022-05-09 03:20:12,2022-05-09,2,22200,0,0,3907,0
144,manomano.fr,bride vue,https://www.manomano.fr/brise-vue-brise-vent-canisse-et-brande-867,2022-05-09 03:10:16,2022-05-09,7,110000,0,0,3850,0
145,manomano.fr,brise vues,https://www.manomano.fr/brise-vue-brise-vent-canisse-et-brande-867,2022-05-09 03:10:16,2022-05-09,7,110000,0,0,3850,0
146,manomano.fr,piscine hors sol,https://www.manomano.fr/piscine-hors-sol-2869,2022-05-09 03:10:15,2022-05-09,7,110000,0,0,3850,0
147,manomano.fr,barnum,https://www.manomano.fr/tente-de-reception-et-barnum-1829,2022-05-09 03:16:06,2022-05-09,3,33100,0,0,3773,0
148,manomano.fr,clim reversible,https://www.manomano.fr/cat/climatisation+reversible,2022-05-09 03:06:00,2022-05-09,3,33100,0,0,3773,0
149,manomano.fr,composteur,https://www.manomano.fr/composteur-1764,2022-05-09 03:13:02,2022-05-09,3,33100,0,0,3773,0
150,manomano.fr,console extensible,https://www.manomano.fr/cat/table+console+extensible,2022-05-09 03:12:53,2022-05-09,3,33100,0,0,3773,0
151,manomano.fr,diable,https://www.manomano.fr/diable-2311,2022-05-09 03:10:11,2022-05-09,3,33100,0,0,3773,0
152,manomano.fr,dremel,https://www.manomano.fr/marque/dremel-547,2022-05-09 03:05:58,2022-05-09,3,33100,0,0,3773,0
153,manomano.fr,escabeau,https://www.manomano.fr/escabeau-446,2022-05-09 03:06:12,2022-05-09,3,33100,0,0,3773,0
154,manomano.fr,fauteuils de jardin,https://www.manomano.fr/fauteuil-de-jardin-2962,2022-05-09 03:06:08,2022-05-09,3,33100,0,0,3773,0
155,manomano.fr,housses de chaises,https://www.manomano.fr/housse-de-chaise-4623,2022-05-09 03:12:52,2022-05-09,3,33100,0,0,3773,0
156,manomano.fr,ruban leds,https://www.manomano.fr/ruban-led-2549,2022-05-09 03:20:09,2022-05-09,3,33100,0,0,3773,0
157,manomano.fr,table basse indus,https://www.manomano.fr/cat/table+basse+industriel,2022-05-09 03:20:15,2022-05-09,3,33100,0,0,3773,0
158,manomano.fr,table basse scandinave,https://www.manomano.fr/cat/table+basse+scandinave,2022-05-09 03:06:12,2022-05-09,3,33100,0,0,3773,0
159,manomano.fr,credence cuisine,https://www.manomano.fr/credence-de-cuisine-2430,2022-05-09 03:05:59,2022-05-09,5,60500,0,0,3690,0
